
============================================
SHEET: 图表
============================================
日期,点击次数,展示,点击率,排名
2026-02-18,0,0,,
2026-02-19,1,1,100.00%,1.00
2026-02-20,1,10,10.00%,4.50
2026-02-21,0,12,0.00%,2.10
2026-02-22,3,10,30.00%,4.20
2026-02-23,1,8,12.50%,3.40
2026-02-24,0,0,,
2026-02-25,0,2,0.00%,25.50
2026-02-26,0,1,0.00%,1.00
2026-02-27,0,1,0.00%,1.00
2026-02-28,0,0,,
2026-03-01,0,0,,
2026-03-02,0,7,0.00%,10.70
2026-03-03,1,5,20.00%,1.00
2026-03-04,0,3,0.00%,1.00
2026-03-05,0,4,0.00%,1.00
2026-03-06,1,5,20.00%,26.20
2026-03-07,1,8,12.50%,55.90
2026-03-08,0,3,0.00%,46.30
2026-03-09,0,7,0.00%,36.10
2026-03-10,0,6,0.00%,27.20
2026-03-11,0,4,0.00%,20.50
2026-03-12,0,8,0.00%,34.20
2026-03-13,0,5,0.00%,55.80
2026-03-14,0,5,0.00%,54.40
2026-03-15,0,3,0.00%,63.00
2026-03-16,0,5,0.00%,88.20
2026-03-17,1,5,20.00%,34.00
2026-03-18,2,12,16.67%,23.30
2026-03-19,0,3,0.00%,56.70
2026-03-20,1,7,14.29%,38.90
2026-03-21,0,2,0.00%,43.50
2026-03-22,0,5,0.00%,54.60
2026-03-23,1,6,16.67%,32.50
2026-03-24,0,8,0.00%,12.20
2026-03-25,0,4,0.00%,103.20
2026-03-26,0,7,0.00%,1.00
2026-03-27,1,1,100.00%,1.00
2026-03-28,0,1,0.00%,35.00
2026-03-29,0,1,0.00%,1.00
2026-03-30,0,4,0.00%,22.80
2026-03-31,0,3,0.00%,1.00

============================================
SHEET: 查询数
============================================
热门查询,点击次数,展示,点击率,排名
pixelswift,2,13,15.38%,15.77
pixelswift free download,1,4,25.00%,4.50
pixel swift free download,1,4,25.00%,4.75
pixelswift free,1,4,25.00%,19.25
bajarle la calidad a una imagen,0,11,0.00%,85.45
estirar imagen,0,3,0.00%,77.00
pixel swift,0,2,0.00%,33.50
redimensionar fotografias,0,2,0.00%,83.00
redimensionar fotos,0,2,0.00%,91.00
redimensionar imagem,0,2,0.00%,91.00
réduction photo,0,2,0.00%,92.00
tinypng webp support,0,1,0.00%,5.00
redimensionar foto online,0,1,0.00%,35.00
esticar a imagem,0,1,0.00%,74.00
画像 px 変更,0,1,0.00%,79.00
diminuir pixels da imagem,0,1,0.00%,82.00
reduction photo,0,1,0.00%,83.00
réduire photo,0,1,0.00%,83.00
estirar una imagen,0,1,0.00%,84.00
reduire les photos,0,1,0.00%,84.00
diminuer image,0,1,0.00%,85.00
reducir pixeles imagen,0,1,0.00%,85.00
reduction photos,0,1,0.00%,88.00
aumentar o tamanho da imagem,0,1,0.00%,89.00
reducir pixeles de una imagen,0,1,0.00%,89.00
hacer menos pesado una imagen,0,1,0.00%,90.00
redimensionar imagen,0,1,0.00%,90.00
pixeles imagen,0,1,0.00%,91.00
pixeles foto,0,1,0.00%,93.00
quitar peso a las fotos,0,1,0.00%,93.00
redimensionar imágenes,0,1,0.00%,95.00
reducir peso de fotos,0,1,0.00%,95.00
bajar calidad a foto,0,1,0.00%,96.00
réduire image,0,1,0.00%,96.00
画像 容量 圧縮,0,1,0.00%,96.00
解像度 変換,0,1,0.00%,98.00
bajar tamaño de fotos,0,1,0.00%,99.00
comprimir fotos,0,1,0.00%,178.00

============================================
SHEET: 网页
============================================
排名靠前的网页,点击次数,展示,点击率,排名
https://pixelswift.site/,5,141,3.55%,5.13
https://pixelswift.site/converter,1,91,1.10%,6.67
https://pixelswift.site/compress-image,1,58,1.72%,8.72
https://pixelswift.site/es,1,53,1.89%,4.74
